"MUNIC_RES","ANO","POPULACAO"
"2102077","2021",16578
"2102101","2021",36900
"2102150","2021",8841
"2102200","2021",28916
"2102309","2021",23993
"2102325","2021",73595
"2102358","2021",15503
"2102374","2021",9524
"2102408","2021",11255
"2102507","2021",19521
"2102556","2021",14530
"2102606","2021",20376
"2102705","2021",22236
"2102754","2021",10937
"2102804","2021",24151
"2102903","2021",24095
"2103000","2021",166159
"2103109","2021",10711
"2103125","2021",8806
"2103158","2021",13876
"2103174","2021",22056
"2103208","2021",80705
"2103257","2021",14855
"2103307","2021",123368
"2103406","2021",49804
"2103505","2021",41443
"2103554","2021",16559
"2103604","2021",65788
"2103703","2021",32559
"2103752","2021",12923
"2103802","2021",23393
"2103901","2021",11451
"2104008","2021",16971
"2104057","2021",43097
"2104073","2021",8506
"2104081","2021",10559
"2104099","2021",19425
"2104107","2021",12662
"2104206","2021",17812
"2104305","2021",12104
"2104404","2021",17953
"2104503","2021",10931
"2104552","2021",18740
"2104602","2021",14703
"2104628","2021",7878
"2104651","2021",10121
"2104677","2021",25502
"2104701","2021",6261
"2104800","2021",70692
"2104909","2021",11966
"2105005","2021",29143
"2105104","2021",27423
"2105153","2021",14470
"2105203","2021",11453
"2105302","2021",259980
"2105351","2021",16158
"2105401","2021",69233
"2105427","2021",26134
"2105450","2021",10464
"2105476","2021",17123
"2105500","2021",23677
"2105609","2021",16228
"2105658","2021",4334
"2105708","2021",50959
"2105807","2021",10900
"2105906","2021",16369
"2105922","2021",11280
"2105948","2021",8841
"2105963","2021",11534
"2105989","2021",7653
"2106003","2021",11943
"2106102","2021",12271
"2106201","2021",7016
"2106300","2021",20228
"2106326","2021",21773
"2106359","2021",7757
"2106375","2021",16754
"2106409","2021",17122
"2106508","2021",23591
"2106607","2021",34099
"2106631","2021",17316
"2106672","2021",8502
"2106706","2021",21045
"2106755","2021",29121
"2106805","2021",15059
"2106904","2021",33888
"2107001","2021",9064
"2107100","2021",19708
"2107209","2021",14826
"2107258","2021",5469
"2107308","2021",4682
"2107357","2021",21228
"2107407","2021",19616
"2107456","2021",14968
"2107506","2021",125265
"2107605","2021",19840
"2107704","2021",21571
"2107803","2021",35108
"2107902","2021",19253
"2108009","2021",19693
"2108058","2021",16295
"2108108","2021",21092
"2108207","2021",39153
"2108256","2021",25560
"2108306","2021",38987
"2108405","2021",14371
"2108454","2021",23530
"2108504","2021",33186
"2108603","2021",84160
"2108702","2021",21274
"2108801","2021",18814
"2108900","2021",17321
"2109007","2021",24294
"2109056","2021",5936
"2109106","2021",48264
"2109205","2021",12939
"2109239","2021",7124
"2109270","2021",19217
"2109304","2021",11328
"2109403","2021",15545
"2109452","2021",31586
"2109502","2021",20288
"2109551","2021",7859
"2109601","2021",43243
"2109700","2021",5686
"2109759","2021",7878
"2109809","2021",42829
"2109908","2021",89927
"2110005","2021",73105
"2110039","2021",25487
"2110104","2021",25884
"2110203","2021",38732
"2110237","2021",13704
"2110278","2021",16219
"2110302","2021",14516
"2110401","2021",18769
"2110500","2021",45989
"2110609","2021",28825
"2110658","2021",7448
"2110708","2021",34391
"2110807","2021",4540
"2110856","2021",12082
"2110906","2021",12226
"2111003","2021",20736
"2111029","2021",15768
"2111052","2021",11207
"2111078","2021",18746
"2111102","2021",26063
"2111201","2021",180345
"2111250","2021",7639
"2111300","2021",1115932
